"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript React", "CSS", "XML", "comment", "blank", "total"
"/Users/talhaoz/dsa-next/client/components/UserComponents/Order.jsx", "JavaScript React", 0, 0, 0, 38, 0, 0, 0, 3, 41
"/Users/talhaoz/dsa-next/client/components/UserComponents/Orders.jsx", "JavaScript React", 0, 0, 0, 82, 0, 0, 0, 4, 86
"/Users/talhaoz/dsa-next/client/items.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 1, 36
"/Users/talhaoz/dsa-next/client/methods.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 8, 66
"/Users/talhaoz/dsa-next/client/misc/CheckList.jsx", "JavaScript React", 0, 0, 0, 66, 0, 0, 0, 20, 86
"/Users/talhaoz/dsa-next/client/package-lock.json", "JSON", 0, 2955, 0, 0, 0, 0, 0, 1, 2956
"/Users/talhaoz/dsa-next/client/package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/talhaoz/dsa-next/client/pages/_app.js", "JavaScript", 55, 0, 0, 0, 0, 0, 2, 13, 70
"/Users/talhaoz/dsa-next/client/pages/api/hello.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/talhaoz/dsa-next/client/pages/index.js", "JavaScript", 46, 0, 0, 0, 0, 0, 26, 8, 80
"/Users/talhaoz/dsa-next/client/pages/manager/customers.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 19, 61
"/Users/talhaoz/dsa-next/client/pages/manager/misc.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/talhaoz/dsa-next/client/pages/manager/orders.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/talhaoz/dsa-next/client/pages/protected/addproducts.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/talhaoz/dsa-next/client/pages/protected/managecustomers.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 19, 62
"/Users/talhaoz/dsa-next/client/pages/protected/manageproducts.js", "JavaScript", 111, 0, 0, 0, 0, 0, 31, 18, 160
"/Users/talhaoz/dsa-next/client/pages/protected/orders.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/talhaoz/dsa-next/client/pages/search.jsx", "JavaScript React", 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Users/talhaoz/dsa-next/client/pages/user/orders.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/talhaoz/dsa-next/client/pages/user/profile.js", "JavaScript", 165, 0, 0, 0, 0, 0, 39, 17, 221
"/Users/talhaoz/dsa-next/client/paymentmethods.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/talhaoz/dsa-next/client/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/talhaoz/dsa-next/client/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"/Users/talhaoz/dsa-next/client/singleOrder.json", "JSON", 0, 130, 0, 0, 0, 0, 0, 2, 132
"/Users/talhaoz/dsa-next/client/styles/globals.css", "CSS", 0, 0, 0, 0, 41, 0, 2, 10, 53
"/Users/talhaoz/dsa-next/client/tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/talhaoz/dsa-next/client/themes/Layout.jsx", "JavaScript React", 0, 0, 0, 71, 0, 0, 0, 11, 82
"/Users/talhaoz/dsa-next/client/tools/cartTools.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/talhaoz/dsa-next/client/tools/componentComposer.js", "JavaScript", 51, 0, 0, 0, 0, 0, 3, 2, 56
"/Users/talhaoz/dsa-next/client/user.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/talhaoz/dsa-next/package-lock.json", "JSON", 0, 1575, 0, 0, 0, 0, 0, 1, 1576
"/Users/talhaoz/dsa-next/package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 1, 22
"/Users/talhaoz/dsa-next/schemas/Address.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/talhaoz/dsa-next/schemas/Billing.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 5, 46
"/Users/talhaoz/dsa-next/schemas/Category.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/talhaoz/dsa-next/schemas/DeliveryMethod.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/talhaoz/dsa-next/schemas/Order.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 6, 82
"/Users/talhaoz/dsa-next/schemas/PaymentMethod.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/talhaoz/dsa-next/schemas/Product.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/talhaoz/dsa-next/schemas/User.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/talhaoz/dsa-next/server.js", "JavaScript", 32, 0, 0, 0, 0, 0, 6, 13, 51
"Total", "-", 947, 4898, 20, 2523, 41, 4, 168, 524, 9125
